observation_date,DGS10
1992-01-02,6.78
1992-01-03,6.85
1992-01-06,6.82
1992-01-07,6.76
1992-01-08,6.77
1992-01-09,6.79
1992-01-10,6.85
1992-01-13,6.92
1992-01-14,7.03
1992-01-15,7.05
1992-01-16,7.13
1992-01-17,7.09
1992-01-20,
1992-01-21,7.03
1992-01-22,7.09
1992-01-23,7.20
1992-01-24,7.25
1992-01-27,7.24
1992-01-28,7.16
1992-01-29,7.25
1992-01-30,7.31
1992-01-31,7.31
1992-02-03,7.36
1992-02-04,7.29
1992-02-05,7.21
1992-02-06,7.20
1992-02-07,7.20
1992-02-10,7.21
1992-02-11,7.23
1992-02-12,7.30
1992-02-13,7.40
1992-02-14,7.41
1992-02-17,
1992-02-18,7.47
1992-02-19,7.42
1992-02-20,7.41
1992-02-21,7.45
1992-02-24,7.47
1992-02-25,7.44
1992-02-26,7.33
1992-02-27,7.35
1992-02-28,7.27
1992-03-02,7.38
1992-03-03,7.43
1992-03-04,7.43
1992-03-05,7.51
1992-03-06,7.48
1992-03-09,7.42
1992-03-10,7.43
1992-03-11,7.51
1992-03-12,7.62
1992-03-13,7.71
1992-03-16,7.69
1992-03-17,7.62
1992-03-18,7.62
1992-03-19,7.57
1992-03-20,7.64
1992-03-23,7.62
1992-03-24,7.53
1992-03-25,7.53
1992-03-26,7.57
1992-03-27,7.54
1992-03-30,7.54
1992-03-31,7.54
1992-04-01,7.46
1992-04-02,7.47
1992-04-03,7.42
1992-04-06,7.41
1992-04-07,7.41
1992-04-08,7.44
1992-04-09,7.35
1992-04-10,7.37
1992-04-13,7.33
1992-04-14,7.35
1992-04-15,7.37
1992-04-16,7.45
1992-04-17,
1992-04-20,7.59
1992-04-21,7.58
1992-04-22,7.57
1992-04-23,7.59
1992-04-24,7.55
1992-04-27,7.60
1992-04-28,7.57
1992-04-29,7.60
1992-04-30,7.61
1992-05-01,7.56
1992-05-04,7.58
1992-05-05,7.56
1992-05-06,7.46
1992-05-07,7.49
1992-05-08,7.41
1992-05-11,7.40
1992-05-12,7.36
1992-05-13,7.34
1992-05-14,7.34
1992-05-15,7.28
1992-05-18,7.28
1992-05-19,7.20
1992-05-20,7.25
1992-05-21,7.39
1992-05-22,7.35
1992-05-25,
1992-05-26,7.46
1992-05-27,7.44
1992-05-28,7.36
1992-05-29,7.33
1992-06-01,7.39
1992-06-02,7.35
1992-06-03,7.34
1992-06-04,7.34
1992-06-05,7.31
1992-06-08,7.31
1992-06-09,7.33
1992-06-10,7.35
1992-06-11,7.33
1992-06-12,7.29
1992-06-15,7.28
1992-06-16,7.24
1992-06-17,7.23
1992-06-18,7.19
1992-06-19,7.24
1992-06-22,7.24
1992-06-23,7.25
1992-06-24,7.20
1992-06-25,7.14
1992-06-26,7.15
1992-06-29,7.12
1992-06-30,7.14
1992-07-01,7.10
1992-07-02,6.93
1992-07-03,
1992-07-06,6.90
1992-07-07,6.87
1992-07-08,6.91
1992-07-09,6.91
1992-07-10,6.93
1992-07-13,6.97
1992-07-14,6.97
1992-07-15,6.90
1992-07-16,6.87
1992-07-17,6.90
1992-07-20,6.90
1992-07-21,6.89
1992-07-22,6.85
1992-07-23,6.72
1992-07-24,6.73
1992-07-27,6.69
1992-07-28,6.63
1992-07-29,6.60
1992-07-30,6.69
1992-07-31,6.72
1992-08-03,6.72
1992-08-04,6.66
1992-08-05,6.64
1992-08-06,6.65
1992-08-07,6.57
1992-08-10,6.52
1992-08-11,6.50
1992-08-12,6.48
1992-08-13,6.55
1992-08-14,6.53
1992-08-17,6.56
1992-08-18,6.48
1992-08-19,6.47
1992-08-20,6.46
