"Date","Price","Open","High","Low","Vol.","Change %"
"25/04/2000","11,124.83","10,916.65","11,136.61","10,881.04","240.20M","2.01%"
"24/04/2000","10,906.10","10,822.33","10,910.75","10,695.44","295.33M","0.57%"
"23/04/2000","10,844.06","10,844.06","10,844.06","10,844.06","","0.00%"
"22/04/2000","10,844.06","10,844.06","10,844.06","10,844.06","","0.00%"
"21/04/2000","10,844.06","10,844.06","10,844.06","10,844.06","","0.00%"
"20/04/2000","10,844.06","10,668.19","10,845.29","10,665.09","158.39M","1.58%"
"19/04/2000","10,674.97","10,748.97","10,789.44","10,632.15","193.86M","-0.86%"
"18/04/2000","10,767.42","10,584.02","10,773.93","10,571.34","218.38M","1.75%"
"17/04/2000","10,582.52","10,303.29","10,583.75","10,232.55","247.52M","2.69%"
"16/04/2000","10,305.78","10,305.78","10,305.78","10,305.78","","0.00%"
"15/04/2000","10,305.78","10,305.78","10,305.78","10,305.78","","0.00%"
"14/04/2000","10,305.78","10,922.85","10,922.85","10,201.53","267.58M","-5.66%"
"13/04/2000","10,923.55","11,132.58","11,144.06","10,920.76","200.24M","-1.81%"
"12/04/2000","11,125.14","11,283.05","11,425.45","11,116.75","234.78M","-1.43%"
"11/04/2000","11,287.09","11,180.98","11,361.15","11,102.48","171.13M","0.90%"
"10/04/2000","11,186.57","11,114.89","11,287.70","11,097.21","150.07M","0.68%"
"09/04/2000","11,111.49","11,111.49","11,111.49","11,111.49","","0.00%"
"08/04/2000","11,111.49","11,111.49","11,111.49","11,111.49","","0.00%"
"07/04/2000","11,111.49","11,122.03","11,192.45","11,062.77","156.50M","-0.03%"
"06/04/2000","11,114.28","11,029.56","11,201.14","11,029.56","161.82M","0.73%"
"05/04/2000","11,033.93","11,163.29","11,218.21","11,002.58","189.31M","-1.17%"
"04/04/2000","11,164.85","11,225.34","11,418.24","10,717.78","319.28M","-0.51%"
"03/04/2000","11,221.94","10,863.28","11,223.79","10,862.97","279.95M","2.75%"
