date,open,high,low,close
1990-11-23,82.94,82.94,82.94,82.94
1990-11-26,82.84,82.84,82.84,82.84
1990-11-27,82.74,82.88,82.74,82.88
1990-11-28,82.75,82.75,82.2,82.75
1990-11-29,82.68,82.77,82.52,82.68
1990-11-30,82.71,82.72,82.7,82.72
1990-12-06,83.1,83.19,83.03,83.03
1990-12-07,83.4,83.42,82.3,83.4
1990-12-10,83.32,83.55,83.32,83.32
1990-12-12,83.98,83.98,83.89,83.89
1990-12-13,84.15,84.38,84.15,84.38
1990-12-14,84.11,84.11,84.02,84.02
1990-12-19,83.8,83.8,83.8,83.8
1990-12-20,83.3,83.3,83.03,83.03
1990-12-21,82.72,82.72,82.35,82.35
1990-12-27,82.4,82.4,82.37,82.37
1990-12-28,82.25,82.26,82.25,82.26
1991-01-02,82.02,82.02,81.88,81.88
1991-01-03,82.55,82.55,82.55,82.55
1991-01-04,82.67,82.67,82.5,82.5
1991-01-07,82.1,82.1,82.0,82.1
1991-01-08,82.22,82.22,82.2,82.22
1991-01-09,82.76,82.76,82.76,82.76
1991-01-10,82.41,82.41,82.41,82.41
1991-01-11,82.5,82.5,82.5,82.5
1991-01-14,82.0,82.17,82.0,82.17
1991-01-15,82.28,82.28,82.28,82.28
1991-01-16,82.1,82.1,82.1,82.1
1991-01-17,83.05,83.05,83.05,83.05
1991-01-18,83.07,83.07,81.0,83.07
1991-01-21,82.86,82.88,82.84,82.85
1991-01-22,82.86,82.86,81.0,82.86
1991-01-23,82.96,82.96,81.0,82.96
1991-01-24,83.47,83.68,83.47,83.68
1991-01-25,83.61,83.61,83.61,83.61
1991-01-28,83.51,83.54,83.51,83.54
1991-01-29,83.86,83.86,81.0,83.86
1991-01-30,84.0,84.18,83.76,84.18
1991-01-31,83.95,84.21,83.95,84.21
1991-02-01,84.1,84.36,84.1,84.36
1991-02-04,84.5,84.5,84.3,84.45
1991-02-05,84.8,85.23,84.78,85.23
1991-02-06,85.1,85.17,84.88,85.17
1991-02-07,85.28,85.49,85.25,85.28
1991-02-08,84.97,85.25,84.9,85.21
1991-02-11,85.4,85.54,85.37,85.37
1991-02-12,85.16,85.16,84.88,84.97
1991-02-13,85.21,85.25,85.17,85.22
1991-02-14,85.17,86.13,85.17,86.11
1991-02-15,86.06,86.5,86.0,86.0
1991-02-18,86.45,86.47,86.17,86.33
1991-02-19,86.41,86.72,85.45,86.15
1991-02-20,85.98,85.98,85.44,85.78
1991-02-21,85.45,85.73,84.5,85.6
1991-02-22,85.7,85.72,85.6,85.66
1991-02-25,86.04,86.04,85.75,85.75
1991-02-26,86.04,86.06,85.45,85.46
1991-02-27,85.25,85.48,85.05,85.42
1991-02-28,85.6,85.85,85.53,85.75
1991-03-01,85.1,85.46,85.1,85.36
1991-03-04,85.22,85.47,85.15,85.31
1991-03-05,85.23,85.85,85.19,85.65
1991-03-06,85.83,85.95,85.64,85.71
1991-03-07,85.69,86.06,85.59,86.06
1991-03-08,86.36,86.4,86.14,86.14
1991-03-11,85.7,85.79,85.55,85.6
1991-03-12,85.85,85.94,85.64,85.72
1991-03-13,85.65,85.67,85.42,85.45
1991-03-14,85.63,85.76,85.54,85.6
1991-03-15,85.58,85.65,85.13,85.2
1991-03-18,85.12,85.22,84.93,84.97
1991-03-19,84.95,84.99,84.45,84.66
1991-03-20,84.66,84.73,84.47,84.7
1991-03-21,84.81,85.04,84.81,84.89
1991-03-22,84.85,84.95,84.74,84.81
1991-03-25,84.85,84.85,84.54,84.58
1991-03-26,84.56,84.56,84.18,84.38
1991-03-27,84.5,84.63,84.33,84.37
1991-03-28,84.4,84.87,84.3,84.81
1991-04-02,84.75,85.16,84.75,84.99
1991-04-03,85.16,85.27,85.05,85.15
1991-04-04,85.12,85.57,85.03,85.57
1991-04-05,85.7,86.0,85.61,85.74
1991-04-08,85.7,86.1,85.52,86.05
1991-04-09,86.05,86.22,85.8,85.9
1991-04-10,85.79,85.88,85.62,85.74
1991-04-11,85.6,86.11,85.54,86.09
1991-04-12,86.1,86.21,85.9,86.21
1991-04-15,86.15,86.25,85.84,85.88
1991-04-16,85.8,85.8,85.45,85.47
1991-04-17,85.55,85.76,85.45,85.75
1991-04-18,85.69,85.8,85.55,85.61
1991-04-19,85.53,85.53,85.21,85.23
1991-04-22,85.2,85.2,84.97,85.13
1991-04-23,85.08,85.44,85.06,85.42
1991-04-24,85.46,85.58,85.28,85.29
1991-04-25,85.45,85.49,85.26,85.35
1991-04-26,85.33,85.37,85.16,85.19
1991-04-29,85.2,85.5,85.19,85.42
1991-04-30,85.4,85.72,85.37,85.7
1991-05-02,85.85,85.97,85.68,85.7
1991-05-03,85.69,85.79,85.43,85.46
1991-05-06,85.5,85.57,85.42,85.5
1991-05-07,85.56,85.57,85.34,85.38
1991-05-08,85.34,85.34,85.06,85.18
1991-05-10,85.39,85.43,85.27,85.39
1991-05-13,85.09,85.29,85.09,85.23
1991-05-14,85.34,85.35,84.78,84.81
1991-05-15,84.85,85.12,84.85,85.11
1991-05-16,85.07,85.35,85.06,85.2
1991-05-17,85.19,85.32,85.1,85.13
1991-05-21,85.27,85.36,85.26,85.35
1991-05-22,85.4,85.63,85.4,85.46
1991-05-23,85.43,85.54,85.39,85.48
1991-05-24,85.4,85.64,85.37,85.47
1991-05-27,85.56,85.7,85.53,85.67
1991-05-28,85.67,85.85,85.62,85.83
1991-05-29,85.87,85.94,85.82,85.89
1991-05-31,85.9,86.07,85.86,85.88
1991-06-03,85.79,85.85,85.62,85.62
1991-06-04,85.6,85.69,85.54,85.65
1991-06-05,85.67,85.67,85.45,85.49
1991-06-06,85.45,85.6,85.45,85.58
1991-06-07,85.58,85.58,85.58,85.58
1991-06-10,85.45,85.5,85.37,85.44
1991-06-11,85.43,85.58,85.43,85.57
1991-06-12,85.57,85.61,85.43,85.44
1991-06-13,85.32,85.6,85.25,85.59
1991-06-14,85.62,85.75,85.62,85.68
1991-06-17,85.77,85.91,85.57,85.58
1991-06-18,85.52,85.84,85.45,85.76
1991-06-19,85.62,85.81,85.58,85.73
1991-06-20,85.82,85.93,85.72,85.72
1991-06-21,85.68,85.8,85.65,85.75
1991-06-24,85.72,85.72,85.56,85.6
1991-06-25,85.6,85.61,85.49,85.51
1991-06-26,85.55,85.59,85.33,85.44
1991-06-27,85.43,85.45,84.94,85.15
1991-06-28,85.11,85.11,84.65,84.75
1991-07-01,84.95,84.95,84.6,84.64
1991-07-02,84.56,84.61,84.45,84.56
1991-07-03,84.63,84.69,84.53,84.67
1991-07-04,84.7,84.75,84.45,84.52
1991-07-05,84.5,84.53,84.28,84.33
1991-07-08,84.18,84.38,84.08,84.37
1991-07-09,84.4,84.48,84.31,84.38
1991-07-10,84.3,84.62,84.26,84.6
1991-07-11,84.6,84.64,84.38,84.45
1991-07-12,84.5,84.7,84.45,84.65
1991-07-15,84.65,84.72,84.53,84.53
1991-07-16,84.56,84.56,84.23,84.23
1991-07-17,84.2,84.31,84.16,84.29
1991-07-18,84.22,84.22,84.02,84.12
1991-07-19,84.14,84.26,83.89,83.91
1991-07-22,83.92,83.99,83.77,83.98
1991-07-23,84.02,84.06,83.7,83.7
1991-07-24,83.68,83.8,83.63,83.79
1991-07-25,83.83,83.92,83.59,83.64
1991-07-26,83.62,83.72,83.54,83.57
1991-07-29,83.52,83.69,83.5,83.61
1991-07-30,83.63,83.8,83.62,83.63
1991-07-31,83.68,83.89,83.59,83.88
1991-08-01,83.87,84.08,83.87,83.9
1991-08-02,83.92,84.24,83.85,84.22
1991-08-05,84.26,84.31,84.11,84.18
1991-08-06,84.19,84.39,84.18,84.31
1991-08-07,84.48,84.51,84.35,84.37
1991-08-08,84.4,84.4,84.29,84.35
1991-08-09,84.24,84.29,84.16,84.22
1991-08-12,84.15,84.26,84.13,84.25
1991-08-13,84.31,84.69,84.29,84.61
1991-08-14,84.74,84.83,84.62,84.78
1991-08-15,84.9,85.11,84.63,85.05
1991-08-16,85.02,85.12,84.84,84.89
1991-08-19,84.15,84.2,83.6,83.87
1991-08-20,83.9,84.15,83.89,84.07
1991-08-21,84.09,84.58,84.09,84.58
1991-08-22,84.82,84.87,84.68,84.73
1991-08-23,84.72,84.77,84.55,84.67
1991-08-26,84.61,84.65,84.55,84.64
1991-08-27,84.61,84.74,84.59,84.72
1991-08-28,84.75,85.02,84.75,84.99
1991-08-29,85.1,85.27,85.04,85.16
1991-08-30,85.13,85.15,84.87,84.87
1991-09-02,84.8,85.18,84.8,85.17
1991-09-03,85.19,85.34,85.09,85.18
1991-09-04,85.2,85.32,85.08,85.09
1991-09-05,85.06,85.11,84.9,84.92
1991-09-06,84.85,84.94,84.82,84.82
1991-09-09,85.45,85.57,85.4,85.52
1991-09-10,85.51,85.53,85.29,85.3
1991-09-11,85.3,85.43,85.24,85.27
1991-09-12,85.32,85.44,85.31,85.4
1991-09-13,85.51,85.64,85.39,85.4
1991-09-16,85.38,85.54,85.38,85.44
1991-09-17,85.44,85.51,85.4,85.46
1991-09-18,85.5,85.58,85.35,85.42
1991-09-19,85.4,85.42,85.25,85.28
1991-09-20,85.33,85.41,85.22,85.24
1991-09-23,85.23,85.26,85.14,85.16
1991-09-24,85.19,85.41,85.18,85.32
