Date,Open,High,Low,Close
1992-01-02,1602.3,1608.1,1600.5,1601.9
1992-01-03,1610.1,1610.4,1603.6,1603.6
1992-01-06,1609.6,1610.4,1603,1603.3
1992-01-07,1598.6,1599.6,1590.9,1592.5
1992-01-08,1584.5,1584.5,1577.4,1578.7
1992-01-09,1583.6,1592.2,1582.9,1589.8
1992-01-10,1605.7,1617.6,1601.6,1615.7
1992-01-13,1619.1,1627.8,1613.7,1622.7
1992-01-14,1629.2,1631,1621.9,1628.5
1992-01-15,1646.1,1670.9,1646.1,1667.5
1992-01-16,1662.1,1669.8,1658,1666.3
1992-01-17,1662.1,1678,1658,1671
1992-01-20,1662.8,1681.3,1661.2,1677.2
1992-01-21,1691.8,1698.1,1685.3,1685.3
1992-01-22,1680.9,1688.2,1676.3,1680.1
1992-01-23,1685.2,1686.5,1667.5,1669.6
1992-01-24,1685.2,1686.5,1662.6,1664.8
1992-01-27,1672.8,1687,1672.8,1683.6
1992-01-28,1688.3,1688.5,1679.6,1683.1
1992-01-29,1684.3,1684.8,1669.3,1672.4
1992-01-30,1668.6,1682.9,1666,1680.9
1992-01-31,1680.9,1688.9,1666,1687.5
1992-02-03,1688.2,1698.7,1686,1689
1992-02-04,1681.3,1681.6,1674.6,1674.6
1992-02-05,1677,1687.6,1675.7,1686.6
1992-02-06,1700.9,1702.7,1681.1,1681.1
1992-02-07,1686,1686,1680.4,1685.5
1992-02-10,1680.8,1682.9,1674.6,1682.1
1992-02-11,1687.5,1687.9,1683.6,1683.6
1992-02-12,1676.8,1679.4,1671.6,1678.9
1992-02-13,1683.4,1685.8,1678.3,1681.4
1992-02-14,1677.8,1677.9,1675.7,1676.5
1992-02-17,1676.9,1682.1,1676.9,1681.1
1992-02-18,1690,1697.5,1688.6,1695
1992-02-19,1693.2,1696.8,1687.6,1687.8
1992-02-20,1695.2,1703.8,1695.2,1703.2
1992-02-21,1703.2,1718.6,1703.2,1717.6
1992-02-24,1715.5,1732.9,1713.1,1729.1
1992-02-25,1738.3,1738.9,1721.3,1722.3
1992-02-26,1726.4,1737.4,1726.4,1737.3
1992-02-27,1745.2,1751.2,1743.5,1749.9
1992-02-28,1745.2,1751.2,1743.5,1745.1
1992-03-02,1743.3,1748.6,1741.8,1747.9
1992-03-03,1753.4,1764.7,1753.4,1763.3
1992-03-04,1768.2,1772.2,1755.6,1759.1
1992-03-05,1754.8,1765.5,1753.1,1764.8
1992-03-06,1752.3,1752.3,1745.9,1746
1992-03-09,1739.9,1751.5,1739.4,1750.3
1992-03-10,1754.5,1757.2,1748.5,1750.5
1992-03-11,1746.3,1746.4,1739.7,1743.4
1992-03-12,1735.8,1735.8,1726.8,1727.5
1992-03-13,1728.2,1732.6,1725.4,1732.6
1992-03-16,1721.2,1725.6,1720.8,1724.8
1992-03-17,1728.6,1733.2,1728.4,1730.1
1992-03-18,1732.7,1737.8,1732.2,1732.2
1992-03-19,1725.8,1727.4,1722.1,1724.6
1992-03-20,1725.8,1740.9,1722.1,1736.3
1992-03-23,1728.4,1728.4,1715.2,1717.5
1992-03-24,1705,1715,1704,1713.1
1992-03-25,1715.8,1721.4,1714.9,1716.3
1992-03-26,1723.7,1723.7,1716.4,1719
1992-03-27,1718.6,1718.6,1708.6,1711.5
1992-03-30,1703.9,1710.4,1700.3,1710.3
1992-03-31,1712.6,1717.9,1712.6,1717.9
1992-04-01,1711.4,1714.3,1707.3,1707.3
1992-04-02,1713,1721.7,1712.1,1721.7
1992-04-03,1723.8,1725.5,1718.4,1719.6
1992-04-06,1720.9,1735.9,1719.9,1734.6
1992-04-07,1738.7,1745.9,1738,1739.4
1992-04-08,1725.8,1725.8,1717,1720
1992-04-09,1716.2,1720.3,1710.2,1720.3
1992-04-10,1730.4,1738.5,1730.4,1736.1
1992-04-13,1735.5,1741.4,1727.7,1727.7
1992-04-14,1733.6,1736.3,1731.2,1732.5
1992-04-15,1739.9,1745.1,1739.9,1743.8
1992-04-16,1745.7,1750.4,1745.6,1749.2
1992-04-21,1744.7,1749.5,1742.8,1746.5
1992-04-22,1751.2,1756.3,1751.1,1753.3
1992-04-23,1758,1760.4,1751.8,1752.4
1992-04-24,1746.5,1748.5,1743.6,1745.7
1992-04-27,1738.1,1742.2,1735,1742.2
1992-04-28,1739.4,1739.9,1734.9,1735.9
1992-04-29,1736.3,1738.9,1730.6,1735.9
1992-04-30,1729.8,1734.2,1726.1,1734
1992-05-04,1729,1731.6,1725.6,1728.3
1992-05-05,1727.7,1732.7,1724.8,1732.6
1992-05-06,1740,1747.3,1740,1743.5
1992-05-07,1748.9,1752.4,1748.6,1750.8
1992-05-08,1750.4,1751.9,1746.9,1748.2
1992-05-11,1751.3,1756.6,1750.9,1753
1992-05-12,1753.8,1753.8,1748.3,1751.2
1992-05-13,1753,1754.9,1747.9,1749.4
1992-05-14,1742.3,1744.3,1740.1,1742.3
1992-05-15,1732.9,1733.2,1720.4,1724.1
1992-05-18,1744.7,1759.4,1744.7,1758.4
1992-05-19,1761.2,1764.5,1758.8,1763.3
1992-05-20,1778.6,1789.4,1778.6,1787.5
1992-05-21,1786.1,1790.4,1784.3,1785.5
1992-05-22,1797,1803.4,1796.8,1803
1992-05-25,1800.7,1811.9,1798.8,1811.6
1992-05-26,1813.7,1814.6,1802.2,1806.7
1992-05-27,1800.9,1800.9,1790.6,1794.1
1992-05-29,1798,1803.8,1798,1803.2
1992-06-01,1803.4,1803.4,1794.5,1798.1
1992-06-02,1796.4,1801.6,1794.5,1801.4
1992-06-03,1800.2,1801.8,1788.6,1788.6
1992-06-04,1778.9,1794.5,1776.6,1792.3
1992-06-05,1795.2,1796.6,1788.3,1789.1
1992-06-09,1787.3,1789,1784.5,1786.3
1992-06-10,1778.4,1789.8,1777,1789.8
1992-06-11,1787.7,1791,1780.1,1781.8
1992-06-12,1782.7,1783.9,1780.9,1782.3
1992-06-15,1779.4,1780.2,1773.5,1773.9
1992-06-16,1778.2,1780.4,1775.9,1779.1
1992-06-17,1771,1773.2,1770.8,1771.8
1992-06-19,1767.5,1774.7,1765.9,1772.9
1992-06-22,1769.6,1773.8,1768.7,1770.6
1992-06-23,1774.1,1777.4,1770.5,1771.1
1992-06-24,1768.5,1769.6,1765.7,1768.5
1992-06-25,1770.6,1773.4,1764.9,1764.9
1992-06-26,1758.2,1758.3,1752.3,1754.1
1992-06-29,1755.5,1762,1755.5,1757.1
1992-06-30,1759,1759.3,1745.2,1752.6
1992-07-01,1751.8,1758.2,1749.9,1756.3
1992-07-02,1762.3,1769.3,1762.3,1768.6
1992-07-03,1771.2,1777,1761.6,1777
1992-07-06,1776,1779.5,1771.4,1772.4
1992-07-07,1772,1772.8,1762.8,1767.5
1992-07-08,1758.3,1758.7,1748.6,1751.2
1992-07-09,1748.9,1757.7,1746.8,1757.6
1992-07-10,1757.3,1757.7,1752,1754.5
1992-07-13,1739.7,1741,1735,1736.5
1992-07-14,1736.8,1738.1,1731.1,1734.1
1992-07-15,1737.1,1740.1,1733.7,1734.6
1992-07-16,1735.3,1744,1734.8,1740.5
1992-07-17,1724.9,1724.9,1702.1,1702.7
1992-07-20,1683.6,1686.7,1647.9,1649.7
1992-07-21,1650.2,1662.7,1644,1659.8
1992-07-22,1644,1644,1626,1628.2
1992-07-23,1638.5,1647.5,1619.6,1623.4
1992-07-24,1625.3,1625.8,1607.6,1610.4
1992-07-27,1602.6,1618.1,1602.6,1618.1
1992-07-28,1609.3,1620.5,1607.7,1610.6
1992-07-29,1613.8,1634.5,1613.1,1628.2
1992-07-30,1631.1,1632.1,1622,1624
1992-07-31,1623.5,1624,1607.5,1615.4
1992-08-03,1602,1602,1590.5,1594.7
1992-08-04,1613.3,1617.4,1606.4,1611.5
1992-08-05,1606.3,1628.8,1602.3,1628.8
1992-08-06,1632.7,1632.8,1615,1621.2
1992-08-07,1613.8,1614.6,1609.3,1609.5
1992-08-10,1600.6,1600.6,1581.4,1582.6
1992-08-11,1573.8,1573.8,1551.4,1564.6
1992-08-12,1564.7,1564.7,1553,1553
1992-08-13,1533.5,1546.8,1526.4,1541
1992-08-14,1540.9,1556.2,1537.7,1547.8
1992-08-17,1557.8,1563.5,1552.6,1555.4
1992-08-18,1539.3,1539.3,1528.3,1533.2
1992-08-19,1525.9,1534.3,1520.6,1524.7
1992-08-20,1534.4,1536.1,1512.7,1513.1
1992-08-21,1519.9,1521.9,1510.5,1520
1992-08-24,1510.9,1510.9,1494.5,1498.7
1992-08-25,1498.5,1498.7,1460.6,1468.9
1992-08-26,1478,1478,1466,1473.3
1992-08-27,1492.3,1514.9,1492.3,1513.4
1992-08-28,1504.3,1516.5,1495.3,1516.5
1992-08-31,1530.4,1544.9,1524.9,1541.3
1992-09-01,1519.3,1528.4,1518.6,1518.7
1992-09-02,1506.6,1508.1,1497.4,1506.7
1992-09-03,1523.5,1534.5,1523.5,1530.8
1992-09-04,1541,1545.1,1531.8,1536.5
1992-09-07,1542.8,1545.2,1533.8,1540.6
1992-09-08,1542.1,1554.5,1542,1544.6
1992-09-09,1534.4,1536.9,1522,1525.3
1992-09-10,1527.4,1529,1513.1,1528.3
1992-09-11,1529.2,1530.4,1521.1,1527.8
1992-09-14,1577.6,1596.5,1569.8,1595
1992-09-15,1596.1,1596.1,1581.7,1587.6
1992-09-16,1566.2,1584.6,1556.9,1584.6
1992-09-17,1588.1,1593.5,1576.9,1578.7
1992-09-18,1579.7,1598.2,1578.7,1589.3
1992-09-21,1579.4,1582.7,1571.3,1573.9
1992-09-22,1559.7,1562.9,1549.9,1550.3
1992-09-23,1549.9,1563.6,1549.6,1557.8
1992-09-24,1540.6,1540.6,1523.6,1530.9
1992-09-25,1515.5,1517.5,1506.4,1513.4
1992-09-28,1488.6,1488.6,1468.9,1475
1992-09-29,1467.9,1479.2,1464.5,1476.3
1992-09-30,1488,1488,1463.3,1466.4
1992-10-01,1468.2,1486.1,1463.2,1484
1992-10-02,1480.7,1485.5,1474.3,1478
1992-10-05,1455.3,1455.3,1424.2,1424.4
1992-10-06,1419,1427.4,1413.7,1420.3
1992-10-07,1416.4,1439.8,1416.4,1436.1
1992-10-08,1453,1454.3,1444.1,1451.1
1992-10-09,1449.8,1450.1,1439.1,1439.7
1992-10-12,1425.7,1432.5,1415.9,1432.5
1992-10-13,1454.4,1465.9,1453.3,1465.5
1992-10-14,1457.1,1459.9,1448.1,1458.5
1992-10-15,1448.8,1462.6,1446.5,1453.4
1992-10-16,1458.4,1465.4,1457.8,1461.6
1992-10-19,1460.7,1480.4,1460.7,1479.1
1992-10-20,1495.7,1512.2,1495.7,1511.6
1992-10-21,1511.6,1511.6,1498.4,1503.9
1992-10-22,1493.5,1511.1,1489.9,1510.1
