Date, Open, High, Low, Close
04/25/00, 6282.97, 6313.80, 6155.70, 6282.97
04/20/00, 6241.22, 6248.10, 6134.40, 6241.22
04/19/00, 6184.91, 6193.60, 6074.00, 6184.91
04/18/00, 6074.04, 6084.20, 5951.70, 6074.04
04/17/00, 5994.57, 6178.10, 5915.20, 5994.57
04/14/00, 6178.12, 6359.10, 6149.80, 6178.12
04/13/00, 6357.00, 6381.90, 6268.40, 6357.00
04/12/00, 6350.80, 6443.50, 6333.60, 6350.80
04/11/00, 6379.22, 6534.00, 6358.40, 6379.22
04/10/00, 6533.38, 6579.60, 6510.40, 6533.38
04/07/00, 6569.88, 6586.30, 6451.10, 6569.88
04/06/00, 6451.14, 6464.90, 6353.80, 6451.14
04/05/00, 6379.32, 6428.50, 6283.20, 6379.32
04/04/00, 6427.03, 6531.30, 6415.50, 6427.03
04/03/00, 6462.12, 6540.20, 6437.90, 6462.12
03/31/00, 6540.22, 6557.40, 6385.80, 6540.22
03/30/00, 6445.17, 6598.80, 6418.50, 6445.17
03/29/00, 6598.83, 6657.30, 6570.30, 6598.83
03/28/00, 6650.14, 6734.90, 6623.70, 6650.14
03/27/00, 6687.17, 6770.40, 6654.40, 6687.17
03/24/00, 6738.50, 6755.10, 6594.60, 6738.50
03/23/00, 6594.61, 6617.80, 6538.70, 6594.61
03/22/00, 6609.62, 6692.30, 6551.70, 6609.62
03/21/00, 6617.87, 6630.60, 6543.40, 6617.87
03/20/00, 6624.51, 6653.40, 6523.30, 6624.51
03/17/00, 6557.99, 6713.10, 6504.10, 6557.99
03/16/00, 6557.25, 6618.20, 6447.00, 6557.25
03/15/00, 6446.99, 6487.10, 6396.10, 6446.99
03/14/00, 6487.11, 6487.11, 6487.11, 6487.11
03/13/00, 6466.87, 6568.70, 6380.60, 6466.87
03/10/00, 6568.73, 6642.50, 6532.10, 6568.73
03/09/00, 6532.11, 6544.20, 6411.20, 6532.11
03/08/00, 6411.21, 6479.70, 6387.20, 6411.21
03/07/00, 6466.54, 6568.30, 6465.50, 6466.54
03/06/00, 6567.81, 6593.30, 6457.00, 6567.81
03/03/00, 6487.46, 6506.30, 6403.00, 6487.46
03/02/00, 6432.10, 6436.50, 6324.20, 6432.10
03/01/00, 6364.89, 6387.30, 6232.60, 6364.89
02/29/00, 6232.56, 6245.50, 6099.60, 6232.56
