date,open,high,low,close
1979-12-26,81.72,81.75,81.16,81.19
1979-12-27,81.06,81.59,80.78,81.59
1979-12-28,81.44,82.09,81.41,81.72
1979-12-31,81.81,82.31,81.75,82.19
1980-01-02,81.97,82.53,80.84,80.88
1980-01-03,80.41,80.59,80.0,80.5
1980-01-04,80.41,80.78,80.0,80.12
1980-01-07,79.59,80.31,79.44,80.25
1980-01-08,80.5,80.94,80.16,80.78
1980-01-09,81.09,81.12,80.44,80.62
1980-01-10,80.62,81.12,80.47,81.03
1980-01-11,80.84,80.88,79.84,79.91
1980-01-14,79.84,80.16,79.47,79.62
1980-01-15,79.38,80.03,79.31,79.81
1980-01-16,79.59,80.09,79.5,79.78
1980-01-17,80.25,80.31,79.0,79.03
1980-01-18,78.56,78.66,77.91,78.16
1980-01-21,77.69,77.75,76.59,76.69
1980-01-22,77.09,77.62,77.06,77.56
1980-01-23,77.12,77.72,77.09,77.5
1980-01-24,77.56,78.0,75.72,75.91
1980-01-25,75.25,75.47,74.91,75.06
1980-01-28,75.03,75.28,74.56,74.78
1980-01-29,74.97,75.12,73.88,74.03
1980-01-30,74.09,74.66,73.69,74.25
1980-01-31,74.16,75.19,74.16,74.5
1980-02-01,74.31,74.59,73.44,73.81
1980-02-04,73.66,73.81,72.88,73.03
1980-02-05,73.31,73.41,71.03,71.09
1980-02-06,71.16,71.31,69.09,70.31
1980-02-07,69.31,71.62,69.22,71.25
1980-02-08,72.0,72.91,70.75,71.44
1980-02-11,71.56,71.56,69.56,69.59
1980-02-12,69.38,69.44,68.72,69.0
1980-02-13,69.09,70.34,69.06,70.19
1980-02-14,70.94,71.16,69.22,69.91
1980-02-15,69.0,69.56,67.91,68.31
1980-02-19,67.62,67.62,66.31,66.31
1980-02-20,65.31,66.69,65.31,65.81
1980-02-21,66.09,66.19,64.06,64.41
1980-02-22,63.41,66.41,62.84,66.41
1980-02-25,66.41,66.88,65.19,65.34
1980-02-26,64.47,65.41,64.16,65.22
1980-02-27,65.22,66.5,65.09,65.12
1980-02-28,65.78,67.12,65.78,67.12
1980-02-29,68.5,68.62,67.0,68.28
1980-03-03,68.44,68.44,66.75,66.91
1980-03-04,67.41,67.5,66.12,67.34
1980-03-05,67.0,67.0,66.31,66.75
1980-03-06,66.31,66.31,64.88,65.31
1980-03-07,64.22,66.53,64.22,66.41
1980-03-10,66.81,68.47,66.28,68.38
1980-03-11,68.16,69.12,68.0,69.0
1980-03-12,68.56,68.56,67.31,67.31
1980-03-13,67.41,68.19,66.78,68.16
1980-03-14,68.38,68.38,67.88,68.03
1980-03-17,67.62,68.69,66.62,68.66
1980-03-18,69.25,70.34,69.25,69.25
1980-03-19,69.44,69.44,69.44,69.44
1980-03-20,69.62,69.62,67.94,67.94
1980-03-21,68.38,68.91,67.81,68.28
1980-03-24,67.12,67.25,66.28,66.28
1980-03-25,65.16,68.22,65.0,65.84
1980-03-26,66.41,67.75,63.84,66.28
1980-03-27,65.69,66.91,65.38,66.03
1980-03-28,67.25,68.03,66.88,67.88
1980-03-31,67.69,68.09,67.12,67.84
1980-04-01,68.34,68.53,67.44,68.5
1980-04-02,68.44,69.03,67.38,67.44
1980-04-03,67.88,69.31,67.47,69.34
1980-04-07,70.09,71.34,70.0,71.22
1980-04-08,70.59,71.53,70.38,71.12
1980-04-09,71.78,71.94,70.97,71.06
1980-04-10,70.69,72.62,70.62,72.53
1980-04-11,74.03,74.31,73.16,73.78
1980-04-14,74.0,74.22,73.06,73.19
1980-04-15,73.47,74.16,73.19,73.69
1980-04-16,73.94,75.69,73.84,75.69
1980-04-17,77.12,77.31,76.06,76.69
1980-04-18,76.16,76.88,75.16,76.75
1980-04-21,77.25,77.84,76.59,76.66
1980-04-22,76.22,77.62,75.72,77.09
1980-04-23,76.78,77.47,75.09,75.88
1980-04-24,74.94,76.12,74.75,75.34
1980-04-25,73.66,75.53,73.34,75.38
1980-04-28,75.94,77.38,75.88,77.38
1980-04-29,77.03,77.62,76.66,77.22
1980-04-30,77.16,77.75,76.66,77.06
1980-05-01,78.06,79.06,77.53,78.38
1980-05-02,78.75,80.28,78.22,80.19
1980-05-05,81.12,82.19,80.31,80.56
1980-05-06,80.94,82.28,80.47,81.84
1980-05-07,83.09,83.62,81.31,81.53
1980-05-08,81.47,82.25,80.38,80.62
1980-05-09,80.28,80.91,78.66,80.31
1980-05-12,79.72,79.72,79.28,79.72
1980-05-13,79.12,80.62,78.62,80.38
1980-05-14,81.06,81.5,80.31,80.75
1980-05-15,80.34,81.06,78.75,78.75
1980-05-16,78.84,79.53,78.06,78.25
1980-05-19,77.75,77.94,77.0,77.09
1980-05-20,77.25,79.09,77.22,79.09
1980-05-21,79.38,80.72,79.34,80.19
1980-05-22,79.38,80.62,79.31,79.94
1980-05-23,81.69,81.94,81.12,81.91
1980-05-27,82.25,82.25,81.25,81.38
1980-05-28,80.97,81.25,80.44,80.69
1980-05-29,80.81,80.88,79.34,79.78
1980-05-30,79.97,80.31,79.19,79.44
1980-06-02,79.06,79.06,78.28,78.53
1980-06-03,78.47,80.34,78.47,80.25
1980-06-04,80.88,81.19,80.44,80.91
1980-06-05,81.25,81.66,81.03,81.47
1980-06-06,82.28,83.44,81.56,83.28
1980-06-09,83.5,84.69,83.44,83.5
1980-06-10,83.31,84.06,82.22,83.03
1980-06-11,82.62,83.88,82.41,83.75
1980-06-12,83.94,85.06,83.47,85.0
1980-06-13,87.09,87.22,85.72,86.22
1980-06-16,85.72,86.5,85.56,86.22
1980-06-17,86.31,86.69,85.47,85.66
1980-06-18,85.88,86.0,84.84,85.19
1980-06-19,85.78,86.16,85.72,85.78
1980-06-20,84.91,85.75,84.62,85.72
1980-06-23,86.0,86.16,83.88,83.84
1980-06-24,83.91,84.88,83.38,83.94
1980-06-25,84.16,84.22,82.59,83.16
1980-06-26,83.12,83.81,81.84,82.06
1980-06-27,82.16,82.53,80.91,81.09
1980-06-30,80.41,81.44,79.72,81.19
1980-07-01,81.31,81.81,79.88,79.88
1980-07-02,79.47,80.5,79.28,80.31
1980-07-03,81.22,81.75,80.22,80.97
1980-07-07,81.12,81.5,78.97,78.97
1980-07-08,79.38,80.81,78.69,80.78
1980-07-09,80.81,80.94,79.66,79.72
1980-07-10,79.66,79.94,78.88,79.25
1980-07-11,78.53,78.69,78.31,78.38
1980-07-14,77.69,78.44,77.53,77.75
1980-07-15,79.69,79.69,79.69,79.69
1980-07-16,80.62,80.62,80.62,80.62
1980-07-17,79.88,80.0,79.69,79.91
1980-07-18,79.84,80.47,79.16,79.16
1980-07-21,79.5,80.16,79.16,80.06
1980-07-22,79.41,79.41,79.41,79.41
1980-07-23,78.88,80.31,78.88,80.06
1980-07-24,79.75,79.75,78.97,78.97
1980-07-25,78.94,79.22,78.38,78.44
1980-07-28,77.62,77.66,77.62,77.66
1980-07-29,77.88,78.06,77.62,77.94
1980-07-30,77.44,77.44,76.59,76.59
1980-07-31,76.66,76.66,75.31,75.44
1980-08-01,75.47,75.94,75.28,75.78
1980-08-04,76.69,76.69,76.69,76.69
1980-08-05,76.84,77.19,76.12,76.12
1980-08-06,76.5,76.5,76.5,76.5
1980-08-07,76.31,77.06,76.31,77.06
1980-08-08,75.56,75.56,75.56,75.56
1980-08-11,74.56,74.56,74.56,74.56
1980-08-12,75.34,75.34,75.34,75.34
1980-08-13,75.5,75.5,75.5,75.5
1980-08-14,75.59,75.59,75.59,75.59
1980-08-15,76.53,76.53,76.53,76.53
1980-08-18,74.72,74.72,74.72,74.72
1980-08-19,74.03,74.03,74.03,74.03
1980-08-20,73.5,73.5,73.5,73.5
1980-08-21,74.44,74.72,73.0,73.91
1980-08-22,74.09,74.75,73.62,74.53
1980-08-25,73.81,74.0,73.31,73.34
1980-08-26,73.59,73.88,73.25,73.31
1980-08-27,73.06,73.28,72.41,72.53
1980-08-28,72.81,72.88,71.56,71.69
1980-08-29,71.5,73.31,70.91,73.16
1980-09-02,72.84,75.0,72.84,74.28
1980-09-03,74.56,75.38,74.5,74.91
1980-09-04,74.91,75.19,74.38,74.66
1980-09-05,74.56,75.06,73.84,74.31
1980-09-08,74.12,74.12,73.5,73.72
1980-09-09,73.97,74.88,73.47,74.53
1980-09-10,74.25,74.97,74.22,74.5
1980-09-11,74.06,74.06,73.56,73.66
1980-09-12,73.53,73.62,72.94,73.41
1980-09-15,72.5,72.59,72.03,72.16
1980-09-16,72.03,72.72,71.97,72.66
1980-09-17,73.03,73.12,71.62,71.91
1980-09-18,71.94,72.59,71.94,72.41
1980-09-19,72.62,73.41,72.62,73.38
1980-09-22,72.88,72.88,71.91,71.94
1980-09-23,71.16,71.16,70.81,70.81
1980-09-24,71.25,71.25,71.25,71.25
1980-09-25,70.31,70.31,70.31,70.31
1980-09-26,69.62,69.62,69.62,69.62
1980-09-29,68.84,68.84,68.84,68.84
1980-09-30,70.66,70.66,70.66,70.66
1980-10-01,70.44,70.44,70.44,70.44
1980-10-02,70.53,70.53,70.53,70.53
1980-10-03,72.31,72.31,72.31,72.31
1980-10-06,73.19,73.19,73.19,73.19
1980-10-07,72.66,72.66,72.66,72.66
1980-10-08,72.41,72.41,72.41,72.41
1980-10-09,74.22,74.22,74.22,74.22
1980-10-10,73.59,73.59,73.59,73.59
1980-10-13,73.44,73.44,73.44,73.44
1980-10-14,74.0,74.0,74.0,74.0
1980-10-15,74.22,74.22,74.22,74.22
1980-10-16,73.09,73.09,73.09,73.09
1980-10-17,72.12,72.12,72.12,72.12
1980-10-20,72.09,72.09,72.09,72.09
1980-10-21,72.19,72.19,71.28,71.28
1980-10-22,70.66,70.66,70.66,70.66
1980-10-23,70.56,70.56,70.56,70.56
1980-10-24,70.66,71.09,70.66,71.09
1980-10-27,69.09,69.09,69.09,69.09
1980-10-28,68.09,68.09,68.09,68.09
1980-10-29,67.47,67.47,67.47,67.47
1980-10-30,67.28,67.28,67.28,67.28
1980-10-31,67.66,67.66,67.66,67.66
1980-11-03,67.34,67.94,67.34,67.94
1980-11-05,66.34,66.34,66.34,66.34
1980-11-06,65.78,65.78,65.78,65.78
1980-11-07,67.12,67.12,67.12,67.12
1980-11-10,66.09,66.09,66.09,66.09
1980-11-11,68.09,68.09,68.09,68.09
1980-11-12,68.66,68.66,68.66,68.66
1980-11-13,68.75,68.75,68.75,68.75
1980-11-14,67.56,67.56,67.56,67.56
1980-11-17,66.69,66.69,66.69,66.69
1980-11-18,68.31,68.31,68.31,68.31
1980-11-19,69.66,70.22,68.53,69.56
1980-11-20,69.28,69.47,68.78,68.88
1980-11-21,68.22,68.38,67.66,67.97
1980-11-24,68.09,68.69,67.53,68.34
1980-11-25,68.81,69.38,68.12,68.19
1980-11-26,68.09,68.84,68.0,68.69
1980-11-28,68.78,68.94,67.94,68.03
1980-12-01,67.69,68.31,67.0,67.0
1980-12-02,67.69,67.72,66.72,67.28
1980-12-03,67.41,68.0,67.41,67.91
1980-12-04,68.0,68.19,67.25,67.75
1980-12-05,67.41,68.62,67.22,68.72
1980-12-08,68.19,68.31,67.62,67.75
1980-12-09,67.16,67.28,65.88,65.84
1980-12-10,65.88,66.28,65.31,65.72
1980-12-11,64.22,64.75,63.25,63.38
1980-12-12,63.41,66.25,63.41,65.69
1980-12-15,65.28,65.88,65.16,65.41
1980-12-16,64.94,64.97,64.41,64.88
1980-12-17,65.25,66.72,65.12,65.78
1980-12-18,65.88,66.94,65.81,66.56
1980-12-19,69.56,69.56,69.56,69.56
1980-12-22,71.56,71.56,71.56,71.56
1980-12-23,71.44,71.44,71.44,71.44
1980-12-24,71.78,71.78,71.78,71.78
1980-12-29,72.0,72.0,72.0,72.0
1980-12-30,71.03,71.03,70.72,70.72
1980-12-31,71.06,71.06,71.06,71.06
1981-01-02,71.53,71.53,71.53,71.53
1981-01-05,72.62,72.62,72.62,72.62
1981-01-06,72.5,72.5,72.5,72.5
1981-01-07,71.28,71.28,71.28,71.28
1981-01-08,71.31,71.31,71.31,71.31
1981-01-09,70.0,70.0,70.0,70.0
1981-01-12,69.94,69.94,69.94,69.94
1981-01-13,70.47,70.47,70.47,70.47
1981-01-14,70.0,70.0,70.0,70.0
1981-01-15,70.16,70.16,69.16,69.16
1981-01-16,70.03,70.03,70.03,70.03
1981-01-19,68.94,68.94,68.94,68.94
1981-01-20,70.0,70.0,70.0,70.0
1981-01-21,68.44,68.44,68.44,68.44
1981-01-22,67.84,67.84,67.84,67.84
1981-01-23,68.22,68.22,68.22,68.22
1981-01-26,69.0,69.0,69.0,69.0
1981-01-27,68.69,68.69,68.69,68.69
1981-01-28,68.69,68.69,68.69,68.69
1981-01-29,68.09,68.09,68.09,68.09
1981-01-30,68.84,68.84,68.84,68.84
1981-02-02,67.44,67.44,67.44,67.44
1981-02-03,66.78,66.78,66.78,66.78
1981-02-04,67.62,67.62,67.62,67.62
1981-02-05,66.69,66.69,66.69,66.69
1981-02-06,66.06,66.06,66.06,66.06
1981-02-09,65.62,65.62,65.62,65.62
1981-02-10,65.0,65.0,65.0,65.0
1981-02-11,64.47,64.47,64.47,64.47
1981-02-12,63.69,63.69,63.69,63.69
1981-02-13,63.47,63.47,63.47,63.47
1981-02-17,65.0,65.0,65.0,65.0
1981-02-18,65.25,65.25,65.25,65.25
1981-02-19,65.88,66.97,65.44,66.59
1981-02-20,66.38,67.62,66.31,67.31
1981-02-23,66.88,67.0,65.66,65.72
1981-02-24,65.72,66.53,65.47,65.88
